"씩씩하다";"mutig / stark sein";;"charakter"
"심보";"die Absicht / Einstellung";"In der Regel für schlechte Absichten.";"charakter"
"숭악한";"niederträchtig";;"charakter"
"신기";"der Instinkt / das Gespür";;"charakter"
"성향";"die Charakterzüge / Neigung";;"charakter"
"피도 눈물도 없는 사람";"herzlose Person";"Wörtlich Person ohne Blut und Tränen";"charakter";"redewendung"
"착실하다";"gewissenhaft sein";;"charakter"
"책임감";"das Verantwortungsgefühl";;"charakter";"gefühl"
"순진무구하다";"naiv / unschuldig sein";;"charakter"
"통사정하다";"verständnisvoll sein";;"charakter";"gefühl"
"부리다";"zeigen / an den Tag legen";"Wenn jemand negative Eigenschaften oder Verhalten zeigt.
Z.B. 술주정을 부리다 (betrunken sein)";"charakter"
"굳세다";"(geistig) stark sein";"Einen stabilen Geist haben / Willensstark sein";"charakter"
"인적성";"der Persönlichkeitstests";;"charakter"
"처력";"das Durchhaltevermögen";;"charakter"
"끈기";"das Durchhaltevermögen";;"charakter"
"근성";"die Willenskraft";;"charakter"
"어리석다";"idiotisch sein";;"charakter";"gefühl"
"까다롭다";"heikel / anspruchsvoll sein";;"charakter"
"자존심";"die Selbstachtung";;"charakter";"gefühl"
"간절하다";"eifrig / begierig sein";"Mischung aus ernst und begeistert";"charakter";"gefühl"
"술꾼";"die Trinker:in";;"charakter";"sozial"
"허영";"die Eitelkeit";;"charakter"
"명랑하다";"heiter / fröhlich sein";;"charakter";"gefühl";"wetter"
"용감히";"mutig / tapfer";;"charakter";"gefühl"
"신사";"der Gentleman";;"charakter";"sozial"
"얌전하다";"zurückhaltend sein";"Brav / anständig sein";"charakter"
"자랑";"der Stolz";;"charakter";"gefühl"
"어른스럽다";"Erwachsen sein";;"charakter"
"변덕스럽다";"launenhaft sein";;"charakter"
"수줍다";"schüchtern sein";;"charakter"
"소심하다";"ängstlich sein";;"charakter"
"내향적";"introvertiert";;"charakter"
"민감하다";"empfindlich sein";;"charakter"
"유별나다";"exzentrisch sein";;"charakter"
"꾀";"trickreich / clever";;"charakter"
"현명하다";"weise sein";;"charakter"
"우수하다";"exzellent sein";;"charakter"
"사회적이다";"sozial sein";;"charakter";"sozial"
"의지";"der Wille";;"charakter";"modal"
"자신";"das Selbstvertrauen";;"charakter"
"창의성";"die Kreativität";;"charakter";"lernen"
"창의적";"kreativ";;"charakter";"lernen"
"겸손";"die Bescheidenheit";;"charakter";"gefühl"
"비겁하다";"feige sein";;"charakter";"gefühl"
"보수적";"konservativ";;"charakter";"gesellschaft";"politk"
"신념";"die Überzeugung";;"charakter";"religion"
"자제하다";"sich unter Kontrolle haben";;"charakter"
"상상력";"die Vorstellungskraft";;"abstrakt";"charakter"
"지혜";"die Weisheit";;"charakter";"religion"
"속셈";"der Hintergedanke";;"charakter";"politk";"sozial"
"선호";"die Vorliebe";;"charakter"
"태도";"die Haltung";;"charakter";"gefühl"
"무심하다";"nachlässig sein";;"charakter"
"눈이 낮다";"bescheiden sein";;"charakter"
"눈이 높다";"anspruchsvoll sein";;"charakter"
"고집이 세다";"stur sein";;"charakter"
"덤벙거리다";"leichtsinnig sein";;"charakter"
"여유가 있다";"sorgenfrei sein";;"charakter"
"성격이 급하다";"hastig / ungeduldig sein";;"charakter"
"적극적이다";"engagiert / proaktiv sein";;"charakter"
"소극적이다";"passiv sein";;"charakter"
"활발하다";"lebhaft sein";;"charakter"
"이해심";"das Verständnis";;"charakter"
"유머 감각";"der Sinn für Humor";;"charakter"
"자신감";"das Selbstvertrauen";;"charakter"
"마음이 넓다";"offenen Herzens sein";;"charakter"
"아끼다";"sparsam sein";;"charakter";"geld"
"믿음직하다";"vertrauenswürdig sein";;"charakter";"sozial"
"불성실하다";"unzuverlässig sein";;"charakter"
"실력";"die Fähigkeit";;"charakter"
"습관";"die Gewohnheit";;"charakter"
"욕심";"die Gier";;"charakter"
"아랑곳";"das Interesse";;"charakter";"lernen"
