"셔츠";"das Hemd";"Engl. shirt";"basis";"kleidung"
"재킷";"die Jacke";"Engl. jacket";"basis";"kleidung"
"바지";"die Hose";;"basis";"kleidung"
"장갑";"die Handschuhe";;"basis";"kleidung"
"입히다";"anziehen";;"basis";"kleidung"
"소재";"das Material";;"basis";"kleidung"
"부채";"der Fächer";;"basis";"kleidung"
"겉모습";"die äussere Erscheinung";;"basis";"kleidung"
"벗다";"sich ausziehen";;"basis";"kleidung"
"양말";"die Socken";;"basis";"kleidung"
"정장";"die Abendgarderobe";;"basis";"kleidung"
"속옷";"die Unterwäsche";;"basis";"kleidung"
"하다";"(Accessoirs) tragen";;"basis";"kleidung"
"매다";"binden";;"basis";"kleidung"
"끼다";"(an der Hand) tragen";;"basis";"kleidung"
"입다";"(Kleidung) tragen";;"basis";"kleidung"
"신다";"(Schuhe) anziehen";;"basis";"kleidung"
"치마";"der Rock";;"basis";"kleidung"
"쓰다";"tragen (Assessoirs)";;"basis";"kleidung"
"한복";"Koreanische Tracht";;"basis";"kleidung"
"입을 것";"etwas zum Anziehen";;"basis";"kleidung"
"신발";"die Schuhe";;"basis";"kleidung"
"지갑";"das Portemonnaie";;"basis";"kleidung"
"안경";"die Brille";;"basis";"kleidung"
"우산";"der Schirm";;"basis";"kleidung"
"모자";"der Hut";;"basis";"kleidung"
